ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
1,Argentina,AR,ARG,Carbon Footprint of Bank Loans (Based on emission intensities - normalized),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLIN,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities; Normalized","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities, Normalized",,,,,,,,,,,100,110.78035051158,101.859333821616,114.80257690765
2,Argentina,AR,ARG,Carbon Footprint of Bank Loans (Based on emission intensities),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLI,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities",,,,,,,,,,,155.83901230423,172.639004064411,158.736579767276,178.907201952687
3,Argentina,AR,ARG,Carbon Footprint of Bank Loans (Based on emission multipliers - normalized),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLMN,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers; Normalized","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers, Normalized",,,,,,,,,,,100,111.804298861902,100.443074420327,114.796462479166
4,Argentina,AR,ARG,Carbon Footprint of Bank Loans (Based on emission multipliers),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLM,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers",,,,,,,,,,,307.479541685605,343.775345725384,308.841904882555,352.975636702228
5,Belgium,BE,BEL,Carbon Footprint of Bank Loans (Based on emission intensities - normalized),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLIN,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities; Normalized","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities, Normalized",,,,,,,,99.41026047,83.54672423,80.90562439,100,85.90490495,87.53691822,78.91843431
6,Belgium,BE,BEL,Carbon Footprint of Bank Loans (Based on emission intensities),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLI,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities",,,,,,,,93.65346079,78.70857419,76.22041915,94.20904879,80.93019381,82.46769799,74.34830628
7,Belgium,BE,BEL,Carbon Footprint of Bank Loans (Based on emission multipliers - normalized),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLMN,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers; Normalized","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers, Normalized",,,,,,,,98.7474045,85.44596559,80.4817224,100,87.77982738,87.1520374,79.63678829
8,Belgium,BE,BEL,Carbon Footprint of Bank Loans (Based on emission multipliers),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLM,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers",,,,,,,,139.6893318,120.8729475,113.850466,141.4612693,124.174458,123.2863783,112.6552115
9,Brazil,BR,BRA,Carbon Footprint of Bank Loans (Based on emission intensities - normalized),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLIN,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities; Normalized","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities, Normalized",,,,,,,,56.44949007,66.97259501,77.16442121,100,87.16570903,75.73267653,72.19120042
10,Brazil,BR,BRA,Carbon Footprint of Bank Loans (Based on emission intensities),Ratio,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",ECFLI,"Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities",,,,,,,,117.2354546,139.090054,160.2566469,207.6820436,181.0275258,157.2831703,149.9281603
